,title,creator,date,abstract,doi,publication,date_added,word_count
217,"Unpacking social-ecological transformations: Conceptual, ethical and methodological insights",Shah et al.,2018-01-01,"Social-ecological systems contribute to environmental change and, in turn, face its corresponding shocks and disturbances. As scholarship on resilience and social-ecological transformations grows, researchers from various disciplines continue to debate how major transitions and environmental change can be anticipated, studied or guided towards just and ethical outcomes. To this end, we apply an interdisciplinary perspective to describing key aspects of social-ecological transformations scholarship around three pressing questions: (1) What features or criteria distinguish transformations from other forms of change?; (2) What are the political, ethical, and normative concerns associated with transformations?; and (3) How can we better track, measure, and evaluate such transformations? Our insights, which emerged from a workshop with early-career interdisciplinary scholars, highlight questions of justice, equity and ethics in transformations research, and suggest that more precise indicators of change, a more explicit understanding of system boundaries, and a dual focus on process and outcomes will help advance our understanding of the social-ecological implications of transformations. We hope that articulating these challenges and recommendations in an interdisciplinary framing will help further the conversation on these critical topics and provide an accessible perspective of key considerations for multidisciplinary scholarship on social-ecological transformations.",10.1177/2053019618817928,Anthropocene Review,2019-06-05 12:17:51+00:00,
218,Climate change impacts in Missouri State Parks: Perceptions from engaged park users,Groshong et al.,2018-01-01,"Frequent visitors to natural areas may be more receptive to climate change messages and more likely to act on their environmental values. To aid in developing targeted communication strategies, this exploratory study assessed how engaged state park users perceive climate change impacts and what they view as the agency role in climate change mitigation, education, and communication. Photo elicitation and semi-structured interviews were conducted with 18 members of the Missouri Parks Association (MPA), an advocacy group. While participants expressed concern about the threat of climate change to state parks, some doubted their ability to identify impacts. Despite this, participants accurately identified most of the regional threats predicted by experts, including increased flooding and drought, early blooming, invasive species, and extreme weather. Some reported that participation in the study inspired them to observe climate impacts more closely. Participants affirmed that state parks should lead climate change education and mitigation efforts, while acknowledging the challenges of addressing a politically charged subject. Regarding communication, MPA members recommend focusing on the science behind climate change and ecological mitigation. Although this study focused on Missouri state parks, results may be applicable to visitors in other Midwestern states. Management implications: Study participants supported managerial action on climate change adaptation through education and ecological management. They acknowledged the political challenges managers face. This study supports presenting scientific evidence to the public and framing climate-change communication around specific, resource-related impacts, especially vegetation, wildlife, and landscape themes that visitors identify as locally salient. Alternatively, park management could focus natural resource-based climate change education on the broader ecological benefits of environmental behavior. Staff can also highlighting environmental efforts underway in parks, such as adoption of energy efficient technology and landscape management practices aimed at increasing ecological resilience. Staff should be educated, empowered and encouraged to deliver locally-relevant climate change interpretation.",10.1016/j.jort.2018.09.002,Journal of Outdoor Recreation and Tourism-Research Planning and Management,2019-06-05 12:17:51+00:00,
219,Engaging the Private Homeowner: Linking Climate Change and Green Stormwater Infrastructure,Beery,2018-01-01,"Current and projected climate change in the Minnesota Lake Superior Coastal Area indicates an increase in frequency and intensity of extreme rainfall. One key outcome of this change is a subsequent potential increase in stormwater runoff, a concern exacerbated by the region's shallow, often clay soils and exposed bedrock, along with highly impervious urban surfaces. This situation, coupled with public perception of climate change that is increasingly inclusive of severe weather, highlights an opportunity to apply green infrastructure to the challenge of stormwater management, referred to as green stormwater infrastructure. In addition to coordinated public action at local, state, and national levels, there is a role for the private landowner to participate in this form of climate adaptation. Private citizens have an opportunity to both protect their home and property while contributing to overall stormwater management for the community in which they live. Focus group research was conducted to better understand outreach and involve local residents in the creation of a tool to assist private green stormwater infrastructure efforts. Results of the focus group sessions were analyzed, and key themes emerged from the data to guide this process and support private home/landowner action. It is recommended that a fifth domain be added to the typology for public and private roles in climate adaptation, i.e. private adaptation for public and private benefit.",10.3390/su10124791,Sustainability,2019-06-05 12:17:51+00:00,
220,Conflicts in Transdisciplinary Research: Reviewing Literature and Analysing a Case of Climate Adaptation in Northwestern Germany,Siebenhuener,2018-01-01,"Transdisciplinary research has been introduced as an approach to integrate different bodies of knowledge to learn and to develop solutions towards socio-ecological transformations. In these concepts, broad stakeholder involvement is intended to promote knowledge integration, consensus formation and activation of local actors to initiate and advance learning and change processes. In doing so, however, transdisciplinary processes enter societal battlegrounds and meet conflicting interest and knowledge claims. Thus, building on the discussion on transdisciplinarity in the context of sustainability-related research, the paper seeks to understand when and why which types of conflicts emerge in sustainability-related transdisciplinary research, how they affect knowledge integration, and how they can be resolved. It develops a categorization of conflicts including differing values, conflicting interests, dissimilar claims of legitimacy, and diverse knowledge claims. They are applied empirically in the analysis of a project on regional adaptation to climate change in Northwestern Germany. It studies processes and outcomes with regard to the societal impact of the project and discusses experiences of conflicts and relevant solutions. The paper finds that societally relevant transdisciplinary research processes need to be prepared for conflict resolution and overcoming resistance and blockages in cases when consensus formation and mutual agreement is not attainable.",10.1016/j.ecolecon.2018.07.011,Ecological Economics,2019-06-05 12:17:51+00:00,
221,Visions from Local Populations for Livelihood-Based Solutions to Promote Forest Conservation Sustainability in the Congo Basin,Carson et al.,2018-01-01,"Forest management practices that aim to mitigate the threats of deforestation and forest degradation can inadvertently threaten the ability of forest-dependent local populations to meet basic daily sustenance needs. Stakeholder engagement can help find common ground between environmental goals and the livelihood needs of local populations. A starting point for local stakeholder engagement is to gather insights into how forest management differentially impacts the livelihoods and well-being of these populations, which may be quite heterogeneous in their perspectives and livelihood needs. Towards this end, we conducted semi-structured first-person interviews in forest-dependent communities in Cameroon about perspectives on and suggestions about forest resources and management. This study provides insights into commonalities and differences of perspectives within and among local populations and supports the use of stakeholder engagement strategies that facilitate bidirectional communication and take into consideration diverse perspectives and priorities.",10.1007/s10745-018-0036-5,Human Ecology,2019-06-05 12:17:51+00:00,
222,"Modelling impacts of climate change and socio-economic change on the Ganga, Brahmaputra, Meghna, Hooghly and Mahanadi river systems in India and Bangladesh",Whitehead et al.,2018-01-01,"The Ganga-Brahmaputra-Meghna (GBM) River System, the associated Hooghly River and the Mahanadi River System represent the largest river basins in the world serving a population of over 780 million. The rivers are of vital concern to India and Bangladesh as they provide fresh water for people, agriculture, industry, conservation and support the Delta System in the Bay of Bengal. Future changes in both climate and socio-economics have been investigated to assess whether these will alter river flows and water quality. Climate datasets down scaled from three different Global Climate Models have been used to drive a daily process based flow and water quality model. The results suggest that due to climate change the flows will increase in the monsoon period and also be enhanced in the dry season. However, once socio-economic changes are also considered, increased population, irrigation, water use and industrial development reduce water availability in drought conditions, threatening water supplies and posing a threat to river and coastal ecosystems. This study, as part of the DECCMA (Deltas, vulnerability and Climate Change: Migration and Adaptation) project, also addresses water quality issues, particularly nutrients (N and P) and their transport along the rivers and discharge into the Delta System. Climate will alter flows, increasing flood flows and changing pollution dilution factors in the rivers, as well as other key processes controlling water quality. Socio-economic change will affect water quality, as water diversion strategies, increased population and industrial development alter the water balance and enhance fluxes of nutrients from agriculture, urban centers and atmospheric deposition.( C) 2018 Elsevier BA,. All rights reserved.",10.1016/j.scitotenv.2018.04.362,Science of the Total Environment,2019-06-05 12:17:51+00:00,
223,Strengthening insurance partnerships in the face of climate change - Insights from an agent-based model of flood insurance in the UK,Crick et al.,2018-01-01,"Multisectoral partnerships are increasingly cited as a mechanism to deliver and improve disaster risk management. Yet, partnerships are not a panacea and more research is required to understand the role that they can play in disaster risk management and particularly disaster risk reduction. This paper investigates how partnerships can incentivise flood risk reduction by focusing on the UK public-private partnership on flood insurance. Developing the right flood insurance arrangements to incentivise flood risk reduction and adaptation to climate change is a key challenge. In the face of rising flood risks due to climate change and socio-economic development insurance partnerships can no longer afford to focus only on the risk transfer function. However, while expectations of the insurance industry have traditionally been high when it comes to flood risk management, the insurance industry alone will not provide the solution to the challenge of rising risks. The case of flood insurance in the UK illustrates this: even national government and industry together cannot fully address these risks and other actors need to be involved to create strong incentives for risk reduction. Using an agent-based model focused on surface water flood risk in London we analyse how other partners could strengthen the insurance partnership by reducing flood risk and thus helping to maintain affordable insurance premiums. Our findings are relevant for wider discussions on the potential of insurance schemes to incentivise flood risk management and climate adaptation in the UK and also internationally. (C) 2018 The Authors. Published by Elsevier B.V.",10.1016/j.scitotenv.2018.04.239,Science of the Total Environment,2019-06-05 12:17:51+00:00,
224,Participatory early warning and monitoring systems: A Nordic framework for web-based flood risk management,Henriksen et al.,2018-01-01,"This paper reviews recent hydrological risk assessment, communication and early warning systems and proposes a framework to reformulate the classic view of Early Warning and Monitoring Systems towards a participatory one. The new framework is developed for flood risks (from multiple flood hazards), using examples from selected Nordic and other European countries. The study shows a potential for public participation in all stages of the Disaster Risk Reduction (DRR) cycle, with enhanced risk communication and awareness. Web-based access to hydrological data and nationwide modelling results can support adaptive and integrated management and learning about the flood risks on catchment scale. This can help identify cost-efficient solutions with synergy to other policy goals. The study shows how social media and digitalisation initiatives in the Nordic countries can support web-based access to historical data, real-time forecasts, and climate projections. Furthermore, the web-based access to data and model results can provide a coherent and integrated platform for stakeholder interaction and co-production for planning and decision-making that integrate hazard and risk knowledge. This can increase societal resilience and flood risk assessment across community and sector boundaries with proper analysis of risk areas, trade-off in costs and benefits of different solutions, and optimisation of climate change adaptation at the catchment scale.",10.1016/j.ijdrr.2018.01.038,International Journal of Disaster Risk Reduction,2019-06-05 12:17:51+00:00,
225,The role of the private sector and citizens in urban climate change adaptation: Evidence from a global assessment of large cities,Klein et al.,2018-01-01,"Expectations of cooperation between local authorities, the private sector, and citizens in climate change adaptation in cities are high because involvement of many actors is seen as critical to success. Scholars and policymakers argue that the private sector could be more efficient than the public authorities in implementing adaptation measures and argue for the need to engage citizens to ensure legitimacy of adaptation and inclusion of locally relevant knowledge. To what extent do cities address the private sector and citizens in their adaptation initiatives? What modes of governance do they use to do this? What kinds of cities are the most likely to address the private sector and citizens? Going beyond the existing case study approaches, this paper answers these questions using a large N data set covering 402 cities around the world. We find that a majority of adaptation initiatives focus exclusively on the public sector and do not address the private sector or citizens. In the cases where they do, the private sector is more often governed through partnerships and participation, whereas citizen participation is relatively rare. Initiatives involving citizens rely more often on a provision of information that encourages citizens to adapt. We find that the more advanced a city is in its adaptation process, the more likely it is to address the private sector than citizens in its initiatives to adapt to climate change. Whereas with partnerships and participation the private sector can influence urban adaptation arrangements at a broader scale, the provision of information allows citizens only to implement individual adaptation measures according to their capacities.",10.1016/j.gloenvcha.2018.09.012,Global Environmental Change-Human and Policy Dimensions,2019-06-05 12:17:51+00:00,
226,Policy Forum: Challenges and opportunities in developing new forest governance systems: Insights from the IPBES assessment for Europe and Central Asia,Olschewski et al.,2018-01-01,,10.1016/j.forpol.2018.10.007,Forest Policy and Economics,2019-06-05 12:17:51+00:00,
227,What Affects Chinese Residents' Perceptions of Climate Change?,Wu et al.,2018-01-01,"The theme of global sustainable development has changed from environmental management to climate governance, and relevant policies on climate governance urgently need to be implemented by the public. The public understanding of climate change has become the prerequisite and basis for implementing various climate change policies. In order to explore the affected factors of climate change perception among Chinese residents, this study was conducted across 31 provinces and regions of China through field household surveys and interviews. Combined with the residents' perception of climate change with the possible affected factors, the related factors affecting Chinese residents' perception of climate change were explored. The results show that the perceptive level of climate change of Chinese residents is related to the education level and the household size of residents. Improving public awareness of climate change risk in the context of climate change through multiple channels will also help to improve residents' awareness of climate change. On the premise of improving the level of national education, improving education on climate change in school education and raising awareness of climate change risk among dependents will help to improve the level of Chinese residents' awareness of climate change, which could be instrumental in promoting public participation in climate change mitigation and adaptation actions.",10.3390/su10124712,Sustainability,2019-06-05 12:17:51+00:00,
228,Adaptation to Coastal Storms in Atlantic Canada: Implications and Lessons Learned,,2018-01-01,"In order to improve the resilience of social-ecological systems of small rural coastal communities in Atlantic Canada, we used different methodologies to not only increase awareness and understanding of what is climate change, but also to enhance public engagement and find solutions that are more appropriate to these communities. This entailed, for example, integrating scientific and existing knowledge. Communities need to be a part of planning and governance in order to identify the most important impacts and response measures. Local governance, from local service districts to municipal and support from the provincial government, are also considered essential in order to improve resilience in the study region. It is necessary to have both short-term (emergency) plans in effect as well as longer term planning for improved adaptation to increasing major storms. Adaptation measures have to consider any physicosocial aspects of hazards, with social responses integrated into physical and environmental hazard-proofing initiatives. Other suggestions are included here based on lessons learned from the research.",,,,162.0
229,Adaptation to Coastal Storms in Atlantic Canada: Methodology,,2018-01-01,"In this chapter, we describe the methodological approach that was selected in order to better understand how communities affected by interventions on climate change adaptation change over time and whether these interventions were effective or not. The project was based on two main elements: a longitudinal study and participatory action research (PAR). The main goal of the longitudinal component of the project was to examine changes over time, while PAR aimed to co-produce knowledge and co-construct solutions with the communities. This was important in order to consider existing knowledge with scientific knowledge for more socially acceptable solutions. To do so, different tools were employed in the communities, depending on their interests and the issues that the communities wanted to work on in priority.",,,,123.0
230,"A regional, multi-sectoral and integrated assessment of the impacts of climate and socio-economic change in the UK",,2005-01-01,"The 'Regional Climate Change Impact and Response Studies in East Anglia and North West England' (RegIS) integrated assessment (IA) investigated climate and socio-economic impacts and adaptation options, and cross-sectoral interactions between four major sectors driving landscape change (agriculture, biodiversity, coastal zones and water resources). The baseline and two contrasting climate change scenarios (with and without regional socio-economic change scenarios) were investigated. RegIS showed that climate change, without policy adaptation, could lead to severe flood impacts in East Anglia, and significant agricultural abandonment. Despite yield changes, cropping is generally insensitive to climate, but very sensitive to socio-economic change. There is increased seasonality to river flows, compounded by increased urbanisation and irrigation demand. The responses of biodiversity to climate change are regional, habitat and species-specific, but much of the future of biodiversity in these regions will depend on planned adaptation in the other sectors. Numerous examples of public engagement with the global change sphere represent the real outward value of RegIS, due to the significant uncertainties and limitations to knowledge in this first regional IA which prevented results of the detail, specificity and confidence that decision-makers required. However, with further investment and refinement, regional IA's will increasingly provide such output.",,,,198.0
231,Bridging the gap: empowering decision-making for adaptation through the,,2006-01-01,"The methods, tools and outputs of the UK Climate Impacts Programme (UKCIP) show how building adaptive capacity to climate change can be embedded within a wide range of organizations. UKCIP has been operating since 1997 to support decision-makers' assessments of their vulnerability to climate change so that they can plan how to adapt. Whilst stakeholder engagement is now generally regarded as vital to ensure that research meets the needs of decision-makers for information, this usually means that stakeholders are positioned in a 'consultative' role in research. In contrast, the UKCIP aims to bridge the gap between research and policy so that decision-makers take control to produce research in ways that are useful to them. The Programme has been flexible and was developed incrementally, with increased scientific understanding, taking advantage of collaborative funding and facilitating long-standing partnerships. Whilst the core framework of scenarios and tools has been developed centrally, most studies have been stakeholder-funded and led. The Programme's results suggest that if decision-makers are supported, capacity is built for assessments, and crucially, research outputs are directly applicable to their ongoing work and strategic planning. This capacity-building has worked across scales and sectors and is an effective route to mainstreaming climate change adaptation. The implication, therefore, is that more support should be given by funding agencies to develop institutional capacity to support adaptation to climate change in both the private and public sectors.",,,,231.0
232,The Value of Linking Mitigation and Adaptation: A Case Study of Bangladesh,,2009-01-01,"There are two principal strategies for managing climate change risks: mitigation and adaptation. Until recently, mitigation and adaptation have been considered separately in both climate change science and policy. Mitigation has been treated as an issue for developed countries, which hold the greatest responsibility for climate change, while adaptation is seen as a priority for the South, where mitigative capacity is low and vulnerability is high. This conceptual divide has hindered progress against the achievement of the fundamental sustainable development challenges of climate change. Recent attention to exploring the synergies between mitigation and adaptation suggests that an integrated approach could go some way to bridging the gap between the development and adaptation priorities of the South and the need to achieve global engagement in mitigation. These issues are explored through a case study analysis of climate change policy and practice in Bangladesh. Using the example of waste-to-compost projects, a mitigation-adaptation-development nexus is demonstrated, as projects contribute to mitigation through reducing methane emissions; adaptation through soil improvement in drought-prone areas; and sustainable development, because poverty is exacerbated when climate change reduces the flows of ecosystem services. Further, linking adaptation to mitigation makes mitigation action more relevant to policymakers in Bangladesh, increasing engagement in the international climate change agenda in preparation for a post-Kyoto global strategy. This case study strengthens the argument that while combining mitigation and adaptation is not a magic bullet for climate policy, synergies, particularly at the project level, can contribute to the sustainable development goals of climate change and are worth exploring.",,,,254.0
233,"Australian Universities, Government Research and the Application of Climate Change Knowledge in Australian Coastal Zone Management",,2010-01-01,"One of the key issues in Australia for sustainable management of the coastal zone is that the science of climate change has not been widely used by decision-makers to inform coastal governance. There exist opportunities to enhance the dialogue between knowledge-makers and decision-makers, and universities have a key role to play in researching and fostering better linkages. At the heart of these linkages lies the principle of more informed engagement between historically disparate groups. In Australia, the new 'Flagship' research programme, funded by the Commonwealth Scientific and Industrial Research Organization (CSIRO), emphasizes their partnering with universities in a more systematic and collaborative manner than previously achieved in such research projects. In order to address sustainability in general and coastal adaptation to climate change in particular, interdisciplinary learning needs to occur between the social and natural sciences; also, transdisciplinary understanding of that interaction needs to be fully developed. New methods of communicative engagement such as computer visualizations and animations, together with deliberative techniques, can help policy-makers and planners reach a better understanding of the significance of the science of climate change impacts on the coast. Deeper engagement across historically disparate groups can lead to the development of epistemological and methodological synergies between social and natural scientists, adaptive learning, reflexive governance, and greater analytical and deliberative understanding among scientists, policymakers and the wider public. This understanding can lead in turn to enhance coastal governance for climate adaptation on the coast.",,,,238.0
234,Community engagement and climate change: learning from recent Australian experience,,2010-01-01,"Purpose - This purpose of this paper is to summarise the outcomes of a recent project in Victoria, Australia exploring the effectiveness of community engagement strategies in improving climate mitigation and adaptation outcomes. Design/methodology/approach - Roundtables and interviews with a diverse range of community engagement practitioners and policy makers involved in climate change work were conducted, informed by a discussion paper outlining recent Australian and international learning about community engagement and climate change. Findings - The project confirms and builds on recent international learning about the importance of carefully planned and implemented community engagement as essential components in effective climate mitigation and adaptation strategies. Originality/value - The paper brings together learning from recent on-the-ground experience from Australian community engagement practitioners and policy makers working in the climate change. field. In addition to evidence supporting the international case for community engagement methodologies the paper also summarises a number of factors important to effective climate change community engagement strategies.",,,,157.0
235,The New Climate Change Discourse: A Challenge for Environmental Sociology,,2010-01-01,"The chapter gives an analysis of the shifting social discourse on climate change in Germany and the U.S. Climate Change Discourses (CCD) are defined as thematically focused coupled sequences of arguments that different social actors use in order to influence one another or their social contexts in order to improve the chances of their resource endowments, interests, and worldviews to prevail in collective decision making processes. The major change in the recent CCD is seen as a shift from a framework of understanding the Earth System to a framework of decision making under uncertainties. The traditional (and in part ideological) opposition of mitigation and adaptation policies will have give way to an optimal mix of both. The chapter gives empirical evidence for that analysis from mass media coverage, public opinion, policy making, and the business sector. This shift occurs currently more markedly in Germany than in the U.S., will probably catch up across the Atlantic soon. The final section sketches the outlines of a low-carbon society and discusses some major challenges to environmental sociology such as more systemic views, active engagement in IPCC's working group III, risk analysis of climate solutions, critical assessments of socio-technical experiments.",,,,196.0
236,Geoengineering the Climate: The Social and Ethical Implications,,2010-01-01,,,,,1.0
237,Can sustainable tourism survive climate change?,,2010-01-01,"This opinion piece contends that tourism's expanding engagement with climate change, as it is currently unfolding, is not necessarily conducive to the interests of tourism sustainability. Inherent unpredictability, long-term timeframes, lack of directly tangible consequences or clearly identifiable villains, issues with credibility and vested interests and cost implications in an era of chronic economic uncertainty all combine to increase the likelihood of unsuccessful climate change policies and strategies. Additional complications arise within the tourism sector from the rudimentary state of knowledge about the relationships between the tourism and climate change, an apathetic and fickle travelling public and a reciprocally uncommitted tourism industry. I argue that adaptation is a rational business response to climate change that is not directly related to environmental and sociocultural sustainability, and that mitigation measures should be supported to the extent that they yield practical and tangible short- and medium-term benefits and address local sustainability issues such as air quality and biodiversity protection.",,,,156.0
238,"Creating Resilient Cities Through Empowered, Deliberative Participation",,2011-01-01,"Social and physical climate change scientists agree that to effectively address climate change, we will need new 'technologies' of cooperation. Placing collaborative governance at centre stage, this paper explores how best to develop resilient cities based on best practice and innovative design. After researching best practice stakeholder collaboration, this paper analyses the common themes that characterize climate adaptation strategies, and documents the success factors typifying best practice. Based on this research and experience, it outlines the IFOK model for new governance and supporting institutional strategies. In addition, the paper argues that a more radical redesign of engagement and governance will be critical in order to achieve community resilience and joint action. It outlines how this can be achieved through collaborative governance, involving the deliberated wisdom of ordinary citizens, i.e. by instituting deliberative democracy. Examples of deliberative democratic practice across the globe are highlighted, including an innovative initiative to develop a deliberative community and collaborative governance in regional Western Australia.",,,,159.0
239,Talk of the city: engaging urbanites on climate change,,2006-01-01,"Climate change requires societal engagement on both mitigation and adaptation. With a growing majority of people living in cities, urban dwellers and municipal decision-makers will need to reduce their emissions and other impacts on the regional and global climate while dealing with the unavoidable near-term and potential longer-term impacts of climate change. To facilitate effective societal response to climate change, a busy, distracted, and so far only marginally interested public needs to be engaged on the topic. This poses significant challenges to communication and sustained outreach efforts. This letter draws on critical insights from a three-year multi-disciplinary project that involved academics and practitioners from various disciplines and sectors of (mostly US) society and explored how to communicate climate change in ways that facilitate societal response. The letter raises questions about key audiences, appropriate messengers, framings and messages, reception of climate change information, and the choice of communication mediums and formats to achieve different communication and engagement goals.",,,,157.0
240,Archival explorations of climate variability and social vulnerability in colonial Mexico,,2007-01-01,"In this paper, unpublished archival documentary sources are used to explore the vulnerability to-and implications of-climatic variability and extreme weather events in colonial Mexico. Attention focuses on three regions covering a variety of environmental, social, economic, and political contexts and histories and located at key points along a north-south rainfall gradient: Chihuahua in the arid north, Oaxaca in the wetter south and Guanajuato located in the central Mexican highlands. A number of themes are considered. First, the significance of successive, prolonged, or combined climate events as triggers of agrarian crisis. Second, a case study demonstrating the national and regional impacts of a particularly devastating climate induced famine, culminating with the so-called 'Year of Hunger' between 1785 and 1786, is presented. The way in which social networks and community engagement were rallied as a means of fortifying social resilience to this and other crises will be highlighted. Third, the impacts of selected historical flood events are explored in order to highlight how the degree of impact of a flood was a function of public expectation, preparedness and also the particular socio-economic and environmental context in which the event took place. An overview of the spatial and temporal variations in vulnerability and resilience to climatic variability and extreme weather events in colonial Mexico is then provided, considering those recorded events that could potentially relate to broader scale, possibly global, climate changes.",,,,229.0
241,Community level adaptation to climate change: The potential role of participatory community risk assessment,,2008-01-01,"This paper explores the value of using community risk assessments (CRAs) for climate change adaptation. CRA refers to participatory methods to assess hazards, vulnerabilities and capacities in support of community-based disaster risk reduction, used by many NGOs, community-based organizations, and the Red Cross/Red Crescent. We review the evolution of climate change adaptation and community-based disaster risk reduction, and highlight the challenges of integrating global climate change into a bottom-up and place-based approach. Our analysis of CRAs carried out by various national Red Cross societies shows that CRAs can help address those challenges by fostering community engagement in climate risk reduction, particularly given that many strategies to deal with current climate risks also help to reduce vulnerability to climate change. Climate change can also be explicitly incorporated in CRAs by making better use of CRA tools to assess trends, and by addressing the notion of changing risks. However, a key challenge is to keep CRAs simple enough for wide application. This demands special attention in the modification of CRA tools; in the background materials and trainings for CRA facilitators; and in the guidance for interpretation of CRA outcomes. A second challenge is the application of a limited set of CRA results to guide risk reduction in other communities and to inform national and international adaptation policy. This requires specific attention for sampling and care in scaling up qualitative findings. Finally, stronger linkages are needed between organizations facilitating CRAs and suppliers of climate information, particularly addressing the translation of climate information to the community level. (C) 2007 Elsevier Ltd. All rights reserved.",,,,260.0
242,"Public engagement in climate change - Disjunctions, tensions and blind spots in the UK",,2009-01-01,"There is much talk about engaging the public in climate change mitigation and adaptation in the United Kingdom and elsewhere. Governments rush to demand greater engagement of the public in tackling climate change and delivering sustainable futures. The importance that public engagement has gained as part of the UK climate agenda begs the questions of what is actually behind this call and what are the implications. This paper analyses the rationale for public engagement as enshrined in major policy documents. This rationale is clearly instrumental in that citizens are expected to engage by adopting the 'right attitude', by performing prescribed behaviours, and by consenting to proposed measures. Using recent cases of climate change mitigation and adaptation practice the paper discusses the implications of such an approach to public engagement. The paper concludes that until the manifold disjunctions between climate related policy agendas and their rationales for engagement are explicitly addressed citizen engagement will be serving incumbent interests rather than contributing to socially sustainable and democratic decision-making",,,,166.0
243,Igniting change in local government: lessons learned from a bushfire vulnerability assessment,,2009-01-01,"Local governments and communities have a critical role to play in adapting to climate variability and change. Spatial vulnerability assessment is one tool that can facilitate engagement between researchers and local stakeholders through the visualisation of climate vulnerability and the integration of its biophysical and socio-economic determinants. This has been demonstrated through a case study from Sydney, Australia where a bushfire vulnerability assessment was undertaken as the first-step in a project to investigate local government perceptions of climate vulnerability and adaptive capacity. A series of relevant biophysical and socio-economic indicators was identified that represented the region's exposure, sensitivity and adaptive capacity with respect to bushfires. These indicators were then combined to develop maps of net landscape vulnerability to bushfire. When presented in a workshop setting, vulnerability maps were successful in capturing the attention of stakeholders while simultaneously conveying information regarding the diversity of drivers that can contribute to current and future vulnerability. However, stakeholders were reluctant to embrace representations of vulnerability that differed from their own understanding of hazard, necessitating the demonstration of agreement between the vulnerability assessment and more conventional hazard assessment tools. This validation opened the door for public dissemination of vulnerability maps, the uptake and use of the assessment in local government risk assessment and adaptation planning, and more focused case-studies on barriers to adaptation.",,,,218.0
244,"Communities, Mitigation and Adaptation",,2010-01-01,"With scientific evidence showing an unprecedented rate of climate change a rate much faster than anticipated a few years ago more active climate protection engagement is needed around the globe. In this context individuals and the community level play a vital role, and there are also considerable expectations by citizens that national governments will take the lead. Yet engagement is slow, and this raises questions regarding the motivation for action and how to get widespread engagement, particularly at the local level. Some issues that have motivated action include experiencing the local impact of climate change and a realisation that it has a security impact (from many different perspectives from climate migration to socio-economic impacts). Studies that address the cost of action and inaction have placed climate change on the political map, and community leaders that have engaged from various angles such as improving air quality have gained multiple benefits for the community and the environment, as an indirect approach to local climate action. This chapter explores why the local level urgently needs to engage, and what its representatives - political leaders, staff and citizens - need to know about what they are dealing with, and why they should deal with it.",,,,201.0
245,Preparing for a changing climate: The Chicago climate action plan's adaptation strategy,,2010-01-01,"The Chicago Climate Action Plan (CCAP), Chicago's roadrnap for reducing climate change impacts and adapting to the changes already occurring, relied on rigorous analysis to formulate policy decisions through stakeholder coordination and public engagement. Three key pieces of analysis contributed to Chicago's adaptation strategy: an evaluation of Chicago's higher and lower greenhouse gas emissions scenarios; an assessment of Chicago's economic risk under both emissions scenarios; and a prioritization of potential impacts using a scoring system that included likelihood of occurrence and local consequences of occurrence. Potential adaptation tactics were categorized according to their expected benefits and costs and led to the creation of working groups to develop action plans that will include primary actors, timelines, budgets, and performance measures that the City will monitor. While not essential for all cities, the impacts analysis was of high value to the adaptation strategy. However, a strategy for stakeholder engagement is crucial in ensuring that the implications of climate impacts are properly understood. (c) 2009 Elsevier B.V. All rights reserved.",,,,167.0
246,Public perception of drought and climate change in southeast England,,2010-01-01,"Droughts occur as a natural feature of many climates. Several southern areas of the UK experienced water stress during 20042006 because of low water availability and high water demand. Climate change scenarios suggest that drought frequency could increase here in the future. This will increase the competition for water across all sectors. Understanding people's perceptions of drought and climate change is likely to be an important factor for sustainable water management by pointing to barriers to behavioural change. A mixed methodology study using questionnaires and focus groups was conducted in the Anglian and southern regions of the UK to explore public perceptions of drought and climate change. Respondents attributed the 2004-2006 regional drought to lower than average rainfall. Water-intensive lifestyles, a growth in population, increasing housing developments, leaking pipes and the privatization of water companies were also implicated. The majority of respondents claimed to change their behaviour to conserve water during 2006. Regarding the future, and under a number of different scenarios, people were more inclined to accept restrictions than agree to pay more to ensure the supply of water. They were concerned about climate change and recognized that more frequent water shortages may be one of the impacts, but this concern did not necessarily translate into action. Barriers to engagement with climate change and water-efficient behaviour included a lack of accessible information, a lack of knowledge regarding the integration of environmental spheres, a lack of resources, and a perceived lack of institutional engagement. The barriers identified appear to pose a major challenge to successful adaptation to climate change.",,,,259.0
